Begin Date of the Week,REDC Region,First Infections Count,Reinfections Count
08/30/2021,Mohawk Valley,1043,27
08/30/2021,New York City,12095,264
08/30/2021,North Country,1052,14
08/30/2021,Southern Tier,1652,41
08/30/2021,Western New York,2179,32
08/23/2021,Capital Region,1803,21
08/23/2021,Central New York,1610,26
08/23/2021,Finger Lakes,1979,42
08/23/2021,Long Island,6456,142
08/23/2021,Mid-Hudson,3849,114
08/23/2021,Mohawk Valley,1007,17
08/23/2021,New York City,13300,298
08/23/2021,North Country,789,6
08/23/2021,Southern Tier,1412,28
08/23/2021,Western New York,1926,28
08/16/2021,Capital Region,1655,20
08/16/2021,Central New York,1445,30
08/16/2021,Finger Lakes,1609,28
08/16/2021,Long Island,5912,160
08/16/2021,Mid-Hudson,3620,80
08/16/2021,Mohawk Valley,777,11
08/16/2021,New York City,13252,309
08/16/2021,North Country,534,2
08/16/2021,Southern Tier,876,10
08/16/2021,Western New York,1511,26
08/09/2021,Capital Region,1515,13
08/09/2021,Central New York,1187,21
08/09/2021,Finger Lakes,1425,31
08/09/2021,Long Island,5247,118
08/09/2021,Mid-Hudson,3658,95
08/09/2021,Mohawk Valley,567,17
08/09/2021,New York City,13217,343
08/09/2021,North Country,448,3
08/09/2021,Southern Tier,777,15
08/09/2021,Western New York,1268,24
08/02/2021,Capital Region,1269,12
08/02/2021,Central New York,762,16
08/02/2021,Finger Lakes,1055,23
08/02/2021,Long Island,4566,125
08/02/2021,Mid-Hudson,3123,96
08/02/2021,Mohawk Valley,456,12
08/02/2021,New York City,12664,335
08/02/2021,North Country,250,2
08/02/2021,Southern Tier,542,13
08/02/2021,Western New York,980,15
07/26/2021,Capital Region,832,6
07/26/2021,Central New York,460,8
07/26/2021,Finger Lakes,570,17
07/26/2021,Long Island,3502,97
07/26/2021,Mid-Hudson,2026,64
07/26/2021,Mohawk Valley,237,4
07/26/2021,New York City,10248,271
07/26/2021,North Country,136,3
07/26/2021,Southern Tier,290,7
07/26/2021,Western New York,793,14
07/19/2021,Capital Region,460,4
07/19/2021,Central New York,203,8
07/19/2021,Finger Lakes,369,5
07/19/2021,Long Island,2209,70
07/19/2021,Mid-Hudson,1144,44
07/19/2021,Mohawk Valley,89,6
07/19/2021,New York City,7065,182
07/19/2021,North Country,91,3
07/19/2021,Southern Tier,143,3
07/19/2021,Western New York,442,13
07/12/2021,Capital Region,249,1
07/12/2021,Central New York,119,3
07/12/2021,Finger Lakes,173,8
07/12/2021,Long Island,1266,56
07/12/2021,Mid-Hudson,661,31
07/12/2021,Mohawk Valley,74,1
07/12/2021,New York City,4371,123
07/12/2021,North Country,51,2
07/12/2021,Southern Tier,74,3
07/12/2021,Western New York,269,9
07/05/2021,Capital Region,120,1
07/05/2021,Central New York,92,3
07/05/2021,Finger Lakes,148,17
07/05/2021,Long Island,742,27
07/05/2021,Mid-Hudson,460,33
07/05/2021,Mohawk Valley,52,3
07/05/2021,New York City,2809,97
07/05/2021,North Country,30,1
07/05/2021,Southern Tier,60,5
07/05/2021,Western New York,137,6
06/28/2021,Capital Region,38,7
06/28/2021,Central New York,77,0
06/28/2021,Finger Lakes,123,5
06/28/2021,Long Island,409,49
06/28/2021,Mid-Hudson,229,23
06/28/2021,Mohawk Valley,31,2
06/28/2021,New York City,1743,87
06/28/2021,North Country,40,1
06/28/2021,Southern Tier,41,4
06/28/2021,Western New York,96,8
06/21/2021,Capital Region,47,5
06/21/2021,Central New York,65,6
06/21/2021,Finger Lakes,102,8
06/21/2021,Long Island,350,37
06/21/2021,Mid-Hudson,236,22
06/21/2021,Mohawk Valley,44,2
06/21/2021,New York City,1334,101
06/21/2021,North Country,53,0
06/21/2021,Southern Tier,55,5
06/21/2021,Western New York,66,9
